bin,sku,Msku,Asin,External id 1,External id 2,External id 3,title,Sellable,Unsellable - Total,Unsellable - Vendor Damage,Unsellable - Carrier Damage,Unsellable - Warehouse Damage,Unsellable - Defective,Unsellable - Shipper Damage,Unsellable - Customer Return Damage,Unsellable - Expired,Reserved,Customer returns,Pending Cancelled,Actual expiration,Amazon expiration
A100,X001SNCI7T,Dnd-tags-50-piece,B0B2K4Z5GB,,,,"50 Sets Door Knob Hanger, Privacy Sign, DND Sign, Door Tags | Do Not Disturb & Clean My Room Card Tags | Hotel Toiletries | Guest House Door Hanger | Hotel Amenities | Marriage Guest Toiletry Kit | Pack Of 50",60,0,0,0,0,0,0,0,0,2,0,0,,
A100,X001ZWOG7N,Vinsan Shaving Gel Pack Of 50,B0C65XCRHJ,,,,8g Vinsan Shaving Gel Tube For Smooth Shaves | Hydrate & Nourish | For Hotel Accessories | Hotel Guest House Toiletries Kit | Room Amenities | Travel Amenities | Pack Of 50,13,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001XE60X1,Auro Shampoo Pck Of 100,B0BRFW4YW8,,,,"Auro 360 (30ml, 100pcs Set) Bulk Hotel Amenities | Toileties For Hospitality | Travel Size Shampoo | Hotel Shampoo | Nourishing | Biodegradable | Supplies for Guest",14,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
A100,X001XE63SN,Auro Body Lotion Pck Of 50,B0BRD6896H,,,,"Auro 360 (30ml, Pack 50) Hotel Body Lotion Luxurious Travel Size Lotion Nourishing and Hydrating Formula Hotel Experience Ultimate Freshness Moisturizing Body Cream (30ml, Pack 50)",26,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
A100,X001SND76P,Auro Shampoo Pck Of 50,B0BRFXR968,,,,"Auro 360 (30ml, Pack-50) Bulk Hotel Amenities | Toileties For Hospitality | Trvel Size Mini Shampoo | Hotel Shampoo | Nourishing | Biodegradable Shampoo | Supplies for Guests",22,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2026,01-Dec-2026
A200,X001SND76P,Auro Shampoo Pck Of 50,B0BRFXR968,,,,"Auro 360 (30ml, Pack-50) Bulk Hotel Amenities | Toileties For Hospitality | Trvel Size Mini Shampoo | Hotel Shampoo | Nourishing | Biodegradable Shampoo | Supplies for Guests",10,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2026,01-Dec-2026
A100,X001XE63S3,Auro-shmpo-cndr-pk-50-ech-25,B0BSQX7BGY,,,,Auro 360 Bulk Hotel Amenities | Toileties For Hospitality | Trvel Size Mini Shampoo and Conditioner | Hotel Shampoo | Nourishing | Biodegradable | Supplies for Guests | 30ml | 25pc Shampoo/ 25pc Conditioner,8,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
A100,X001XDMU0J,Auro Body Lotion Pck Of 100,B0BRD5TVZV,,,,"Auro 360 Hotel Body Lotion Luxurious Travel Size Lotion Nourishing and Hydrating Formula Hotel Experience Ultimate Freshness Moisturizing Body Cream (30ml, Pack 100)",17,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
A100,X001XDMU13,Auro Showr Gel Pck Of 100,B0BRJ9193P,,,,Auro 360 Pack Of 100 Body Wash 30 Ml For | Travel Size Shower Gel | Hotel Amenities Toiletries Bulk | Mini Body Wash Shower Gel | Hospital Amenities Kits | Guest Room Toiletries,10,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
A100,X001XE63T7,Auro Showr Gel Pck Of 50,B0BRJ78RPD,,,,Auro 360 Pack Of 50 Body Wash 30 Ml For | Travel Size Shower Gel | Hotel Amenities Toiletries Bulk | Mini Body Wash Shower Gel | Hospital Amenities Kits | Guest Room Toileties,12,0,0,0,0,0,0,0,0,0,0,0,19-May-2026,19-Apr-2026
